[2024-11-25T17:49:19.285+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T19:46:25.861+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:47:25.885+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:48:25.921+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:49:25.931+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:50:25.982+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:51:26.041+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:52:26.099+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:53:26.157+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:54:26.218+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:55:26.272+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:56:26.331+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:57:26.388+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:58:26.446+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:59:26.457+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:00:26.512+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:01:26.570+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:02:26.628+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:03:26.683+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:04:26.753+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:05:26.814+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:06:26.869+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:07:26.914+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:08:26.976+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:09:27.033+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:10:27.101+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:11:27.158+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:12:27.220+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:13:27.275+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:14:27.332+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:15:27.390+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:16:27.448+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:17:27.507+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:18:27.564+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:39:08.375+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T20:39:23.434+0000] {local_task_job_runner.py:294} WARNING - State of this instance has been externally set to failed. Terminating instance.
[2024-11-25T20:39:23.559+0000] {process_utils.py:131} INFO - Sending 15 to group 1174. PIDs of all processes in the group: [1174]
[2024-11-25T20:39:23.563+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 1174
[2024-11-25T20:39:23.568+0000] {taskinstance.py:1632} ERROR - Received SIGTERM. Terminating subprocesses.
[2024-11-25T20:39:24.099+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=1174, status='terminated', exitcode=0, started='17:49:19') (1174) terminated with exit code 0
